Title: Young Stellar Objects in the Gould Belt 
Authors: Dunham M.M., Allen L.E., Evans N.J., Broekhoven-Fiene H., Cieza L.A., 
         Francesco J.D., Gutermuth R.A., Harvey P.M., Hatchell J., Heiderman A.,
         Huard T.L., Johnstone D., Kirk J.M., Matthews B.C., Miller J.F., 
         Peterson D.E., Young K.E. 
Table: Properties of the c2d+GB YSOs
================================================================================
Byte-by-byte Description of file: apjs519129t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---    Index   Index
   6- 21 A16    ---    Cloud   Cloud identifier
  23- 38 A16    ---    ID      SSTc2d or SSTgb + Spitzer source name  
 131 Aquila           J182701.4-035013  7.4   -0.74 1000.     0.0048    -0.97 1200.     0.0083  N - 
 132 Aquila           J182703.0-040100 13.1   -2.04 1600.     3.3       -2.52 2000.    15.      N - 
 133 Aquila           J182703.3-024533 12.4    0.44  790.     0.010      0.13 1700.     0.032   N - 
 134 Aquila           J182705.1-031301  6.8   -2.10 1800.     2.1       -2.45 2000.     4.9     N - 
 135 Aquila           J182709.7-041429  7.7   -2.24 1700.     0.31      -2.50 2000.     0.81    Y - 
 136 Aquila           J182710.2-025719  7.1   -1.84 1400.     0.52      -1.63 1700.     1.1     N - 
 137 Aquila           J182710.4-041047  8.8   -2.08 1700.     6.9       -2.51 2000.    20.      N - 
 138 Aquila           J182711.7-025656  8.9   -2.09 1700.     0.24      -2.50 2000.     0.72    N - 
 139 Aquila           J182711.9-032036  8.0   -2.14 1700.     0.80      -2.58 2000.     2.2     N - 
 140 Aquila           J182713.0-024316  6.2   -2.22 1800.     2.3       -2.56 2000.     5.0     Y - 
 141 Aquila           J182713.2-034014 12.4   -0.17  890.     1.3       -0.96 1600.     3.8     N - 
 142 Aquila           J182715.8-035849  6.8   -1.18 1500.     0.017     -1.56 1800.     0.038   N - 
 143 Aquila           J182716.8-034428 19.3   -1.96 1400.     0.14      -2.57 1900.     1.1     N - 
 144 Aquila           J182717.1-025442  6.9   -2.20 1800.     0.76      -2.53 2000.     1.8     N - 
 145 Aquila           J182717.6-033530  8.6   -2.25 1700.     1.5       -2.60 2000.     4.3     Y - 
 146 Aquila           J182719.4-041040  7.8   -2.38 1800.     1.2       -2.75 2000.     3.3     Y - 
 147 Aquila           J182721.1-041157  8.9   -1.54 1500.     3.5       -1.99 1900.     9.7     N - 
 148 Aquila           J182721.6-031415 12.4   -1.66 2000.     0.32      -2.68 2600.     2.6     N - 
 149 Aquila           J182722.1-033644  8.2   -2.13 1700.     0.27      -2.49 2000.     0.74    N - 
 150 Aquila           J182723.4-024603  7.5   -2.03 1700.     3.5       -2.43 2000.     9.0     N - 
 151 Aquila           J182723.8-035227 12.9   -2.06 1500.     0.90      -2.43 1900.     3.9     Y - 
 152 Aquila           J182723.8-034607 10.9   -2.05 1600.     0.019     -2.52 2000.     0.068   N - 
 153 Aquila           J182723.9-040717  4.1   -1.99 1800.     0.056     -2.06 1900.     0.094   N - 
 154 Aquila           J182724.3-040653  8.9   -1.98 1700.     6.6       -2.39 2000.    19.      N - 
 155 Aquila           J182726.4-033416  7.8   -0.75 1300.     0.10      -1.20 1700.     0.23    N - 
 156 Aquila           J182726.6-034445 15.7   -0.49  900.     0.34      -1.20 1500.     1.2     N - 
 157 Aquila           J182728.7-040624  7.8   -2.28 1700.     1.5       -2.59 2000.     4.0     Y - 
 158 Aquila           J182730.1-034540 14.6   -1.88 1500.     0.72      -2.46 2000.     3.8     N - 
 159 Aquila           J182730.2-034859 11.4   -1.85 1600.     0.021     -2.53 2000.     0.077   N - 
 160 Aquila           J182731.5-024322  9.0   -1.87 1700.     5.1       -2.38 2000.    15.      N - 
 161 Aquila           J182731.7-040254  8.4   -2.15 1700.     0.27      -2.43 2000.     0.74    Y - 
 162 Aquila           J182731.9-030656  8.0   -2.28 1700.     0.34      -2.59 2000.     0.93    Y - 
 163 Aquila           J182732.0-012530  7.0   -2.04 1800.     2.1       -2.47 2000.     5.0     N - 
 164 Aquila           J182733.1-031440  8.7   -2.07 1600.     8.3       -2.33 1900.    23.      N - 
 165 Aquila           J182733.4-032626 11.7   -1.18 1300.     1.7       -1.66 1800.     5.7     N - 
 166 Aquila           J182734.3-035406 12.9   -1.62 1400.     0.034     -2.48 1900.     0.14    N - 
 167 Aquila           J182735.7-031426  8.4   -1.84 1600.     0.75      -2.18 1900.     2.0     N - 
 168 Aquila           J182736.7-035004 12.4    0.75  360.     0.13       0.41  550.     0.21    N - 
 169 Aquila           J182737.0-034938 13.2   -0.43  930.     2.9       -0.75 1400.     8.0     N - 
 170 Aquila           J182737.3-034712 16.4   -1.28 1300.     0.011     -2.40 1900.     0.063   N - 
 171 Aquila           J182737.9-035552 10.6   -2.11 1700.     0.76      -2.57 2000.     2.7     N - 
 172 Aquila           J182738.5-040228  5.8   -1.28 1300.     0.24      -1.80 1700.     0.44    N - 
 173 Aquila           J182739.1-034611 11.5   -1.29 1300.     0.037     -1.64 1800.     0.12    N - 
 174 Aquila           J182739.9-040942  8.3   -2.06 1700.     2.1       -2.50 2000.     5.8     N - 
 175 Aquila           J182740.2-033356 10.1   -0.33  700.     0.029     -0.69 1200.     0.056   N - 
 176 Aquila           J182742.1-035836 10.3   -2.02 1700.     0.83      -2.48 2000.     2.8     N - 
 177 Aquila           J182743.1-034316 20.1   -1.66 1400.     1.3       -2.43 1900.    11.      N - 
 178 Aquila           J182744.2-032952  8.5   -0.69 1100.     0.18      -1.27 1600.     0.39    N - 
 179 Aquila           J182744.3-025619 11.0   -1.82 1600.     0.50      -2.42 2000.     1.9     N - 
 180 Aquila           J182744.4-035601  7.9   -1.22 1400.     0.33      -1.77 1800.     0.77    N - 
 181 Aquila           J182746.3-033015 20.4   -1.79 1300.     0.41      -2.41 1900.     3.4     N - 
 182 Aquila           J182746.6-012330  7.6   -1.93 1800.     0.75      -2.43 2000.     2.0     N - 
 183 Aquila           J182748.1-035254 11.6   -0.67 1100.     0.021     -1.20 1600.     0.061   N - 
 184 Aquila           J182748.9-014623  6.9   -2.26 1700.     0.70      -2.47 2000.     1.7     Y - 
 185 Aquila           J182749.3-035340  8.9   -1.00 1300.     0.083     -1.23 1700.     0.20    N - 
 186 Aquila           J182750.1-034913 12.4    0.17  640.     0.25      -0.24  900.     0.51    N - 
 187 Aquila           J182750.4-034837 11.3   -0.72 1200.     0.055     -1.25 1700.     0.16    N - 
 188 Aquila           J182750.5-035200 13.0   -0.76 1000.     0.15      -0.98 1500.     0.46    N - 
 189 Aquila           J182750.7-040542  8.1   -1.79 1600.     1.1       -2.19 1900.     3.0     N - 
 190 Aquila           J182753.5-035405  7.7   -1.16 1200.     0.11      -1.20 1600.     0.23    N - 
 191 Aquila           J182754.6-020104  6.8   -2.07 1800.     0.80      -2.46 2000.     1.9     N - 
 192 Aquila           J182754.7-034238 12.4    0.56  390.     1.5        0.38  550.     2.5     N - 
 193 Aquila           J182754.7-035057 14.5   -1.20 1200.     0.020     -2.26 1800.     0.087   N - 
 194 Aquila           J182756.8-035221 10.2   -0.66 1200.     0.018     -1.07 1600.     0.047   N - 
 195 Aquila           J182757.4-035541  6.9   -1.65 1700.     0.046     -2.11 2000.     0.11    N - 
 196 Aquila           J182759.4-014955  6.9   -2.05 1700.     0.79      -2.42 2000.     1.9     N - 
 197 Aquila           J182800.4-040832  8.9   -2.16 1700.     0.95      -2.42 2000.     2.8     Y - 
 198 Aquila           J182802.4-034406 17.6   -1.89 1400.     1.7       -2.53 1900.    12.      N - 
 199 Aquila           J182802.5-024914 13.5   -1.49 1300.     0.42      -1.87 1800.     1.7     N - 
 200 Aquila           J182803.1-040733  9.6   -1.78 1600.     0.22      -2.31 2000.     0.70    N - 
 201 Aquila           J182805.4-034659 12.4    0.96  160.     0.46       0.80  220.     0.57    N - 
 202 Aquila           J182805.6-035211 12.2   -0.71 1200.     0.026     -1.49 1800.     0.088   N - 
 203 Aquila           J182806.5-032801 17.7   -2.11 1500.     0.11      -2.71 2000.     0.81    Y - 
 204 Aquila           J182807.4-025835  8.4   -2.00 1500.     0.72      -1.91 1800.     1.8     Y - 
 205 Aquila           J182809.0-012313 11.1   -2.02 1600.     0.34      -2.36 1900.     1.2     N - 
 206 Aquila           J182809.4-022631 12.4   -0.11 1200.     0.17      -1.15 2000.     0.68    N - 
 207 Aquila           J182810.0-035733 10.0   -2.20 1600.     0.42      -2.51 2000.     1.4     Y - 
 208 Aquila           J182810.4-022758  5.1   -1.82 1800.     1.4       -2.22 2000.     2.6     N - 
 209 Aquila           J182811.0-041305  8.5   -2.10 1700.     0.43      -2.40 2000.     1.2     Y - 
 210 Aquila           J182812.0-033454 11.8   -2.05 1600.     1.0       -2.46 2000.     4.1     N - 
 211 Aquila           J182817.6-020636  8.0   -2.26 1700.     2.6       -2.63 2000.     7.1     Y - 
 212 Aquila           J182820.1-033228 11.5   -2.17 1600.     0.18      -2.58 2000.     0.72    Y - 
 213 Aquila           J182820.5-034811 19.1   -1.98 1400.     0.11      -2.56 1900.     0.89    N - 
 214 Aquila           J182820.7-040527  7.9   -1.58 1500.     3.1       -1.83 1800.     7.5     N - 
 215 Aquila           J182820.9-035928  7.5   -2.06 1700.     0.79      -2.42 2000.     2.0     N - 
 216 Aquila           J182821.2-032055 10.4   -2.10 1600.     0.35      -2.41 2000.     1.2     Y - 
 217 Aquila           J182821.4-031902  9.4   -2.11 1700.     0.31      -2.47 2000.     0.96    N - 
 218 Aquila           J182821.5-033726  5.3   -2.13 1800.     0.032     -2.39 2000.     0.062   N - 
 219 Aquila           J182825.2-034141 16.1   -1.99 1400.     0.28      -2.44 1900.     1.6     N - 
 220 Aquila           J182825.5-040324  7.4   -2.31 1700.     0.36      -2.58 2000.     0.89    Y - 
 221 Aquila           J182825.7-013049  8.4   -2.00 1700.    10.        -2.37 2000.    29.      N - 
 222 Aquila           J182826.5-031232  6.1   -0.90 1300.     0.017     -1.15 1600.     0.031   N - 
 223 Aquila           J182830.7-025109  7.9   -2.15 1700.     1.6       -2.44 2000.     4.2     Y - 
 224 Aquila           J182834.4-033937 15.3   -2.06 1400.     0.20      -2.56 1900.     1.1     N - 
 225 Aquila           J182835.2-015528 20.1   -2.43 1500.     0.22      -2.96 2000.     2.0     Y - 
 226 Aquila           J182836.9-011542  5.9   -1.46 1800.     0.075     -1.56 2100.     0.17    N - 
 227 Aquila           J182837.3-011534  8.1   -1.95 1700.     9.9       -2.41 2000.    27.      N - 
 228 Aquila           J182838.5-022545  5.0   -1.07 1400.     0.045     -1.23 1700.     0.076   N - 
 229 Aquila           J182838.7-014943  7.1   -0.91 1100.     0.023     -1.07 1300.     0.039   N - 
 230 Aquila           J182839.0-032414 16.3   -1.42 1800.     0.037     -1.73 2400.     0.43    N - 
 231 Aquila           J182839.5-023038  9.2   -2.19 1700.     3.8       -2.54 2000.    12.      Y - 
 232 Aquila           J182840.7-024937  5.2   -1.71 1600.     0.0062    -2.16 1900.     0.011   N - 
 233 Aquila           J182841.4-040535  3.2   -1.02 1600.     0.017     -1.25 1800.     0.024   N - 
 234 Aquila           J182841.5-034150 12.2   -1.80 1400.     0.10      -2.33 1900.     0.39    N - 
 235 Aquila           J182842.5-015333 20.2   -2.04 1400.     0.83      -2.66 2000.     7.3     N - 
 236 Aquila           J182842.6-012951 12.4    0.05  740.     0.015     -0.48  970.     0.033   N - 
 237 Aquila           J182842.8-034426 15.5   -1.91 1500.     0.27      -2.42 1900.     1.5     N - 
 238 Aquila           J182843.0-033327 13.2   -2.02 1400.     0.28      -2.23 1900.     1.2     Y - 
 239 Aquila           J182843.7-025101  6.1   -1.49 1300.     0.040     -1.29 1600.     0.073   N - 
 240 Aquila           J182844.2-040604  4.0   -1.08 1500.     0.017     -1.26 1700.     0.026   N - 
 241 Aquila           J182845.3-040227  6.7   -2.08 1800.     0.37      -2.40 2000.     0.85    N - 
 242 Aquila           J182845.5-035946  7.2   -2.10 1700.     1.3       -2.37 2000.     3.2     N - 
 243 Aquila           J182845.5-040649  8.4   -2.16 1700.     4.1       -2.45 2000.    11.      Y - 
 244 Aquila           J182846.1-031519  4.4   -2.43 1900.     0.32      -2.62 2000.     0.57    N - 
 245 Aquila           J182846.2-031510 22.6   -1.01  750.     0.98      -1.42 1200.     4.0     N - 
 246 Aquila           J182846.4-035442  4.2   -1.06 1600.     0.014     -1.28 1800.     0.022   N - 
 247 Aquila           J182846.5-021400  9.0   -2.20 1700.     2.4       -2.50 2000.     7.0     Y - 
 248 Aquila           J182847.7-013807 12.4    1.72  110.     0.26       1.52  120.     0.31    N - 
 249 Aquila           J182847.7-013814 12.4    0.63  560.     0.011      0.33 1600.     0.029   N - 
 250 Aquila           J182849.2-013504 15.5   -0.76  820.     0.0039    -1.14  980.     0.0095  N - 
 251 Aquila           J182851.0-033644  8.5   -1.28 1500.     0.0096    -1.66 1800.     0.024   N - 
 252 Aquila           J182851.5-011806  8.1   -1.92 1700.     0.15      -2.35 2000.     0.40    N - 
 253 Aquila           J182852.1-020739  3.4   -2.28 1900.     0.072     -2.44 2000.     0.11    N - 
 254 Aquila           J182852.2-021821  2.0   -1.76 2000.     0.011     -1.81 2100.     0.015   N - 
 255 Aquila           J182853.4-034523 14.2   -2.04 1500.     0.26      -2.41 1900.     1.2     N - 
